Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerV3,wranglerUnenv
,,,22.6.0,20.17.0,18.20.4,1.1.25,1.45.5,1.20240821.1,3.72.1,unenv@1.10.0-1717606461.a117952
*globals*,*self*,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,AbortController,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,AbortSignal,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,AggregateError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Array,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,ArrayBuffer,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.*self*,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.add,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.and,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.compareExchange,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.exchange,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.isLockFree,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.load,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.notify,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.or,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.store,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.sub,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.wait,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.waitAsync,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Atomics.xor,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,BigInt,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,BigInt64Array,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,BigUint64Array,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Blob,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Boolean,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,BroadcastChannel,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
